,地区,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人),year
102,福建省,42326.6,2595.5,20065.5,19665.6,2691.1,15654,4482,4422.9,1482.2,655.6,3040.5,2697.8,7200.5,106966,2019
103,江西省,24667.3,2057.7,10820.3,11789.3,2135.8,8774.2,2053,2112.2,1106.7,453.4,1583,1816.3,4632.7,52865,2019
104,山东省,70540.5,5117,28171.8,37251.7,5477.1,22755.1,5532.8,9564.8,3636.1,1173.7,4177.4,4073.7,14149.9,70129,2019
105,河南省,53717.8,4635.7,23035.6,26046.5,4860.7,17938.2,5174.8,4043.4,3038,1157.6,2773.2,3352.3,11379.5,55825,2019
106,湖北省,45429,3809.4,18723.1,22896.5,4014.3,15707.6,3073.1,3347.1,2233.5,1248.5,2783.6,3455.3,9566,76712,2019
107,湖南省,39894.1,3647.2,15401.7,20845.2,3850.5,11995.8,3416.9,4004.4,1578,915.7,1938.6,2725.1,9469.3,57746,2019
108,广东省,107986.9,4350.6,43368.2,60268.1,4478.3,39141.8,4334,11000.2,3658,1880.5,8764.1,9543.2,25186.9,94448,2019
109,广西壮族自治区,21237.1,3389.7,7046.4,10801,3493.9,5246.6,1816.1,1759,902,376.9,1469.5,1798.8,4374.5,42964,2019
110,海南省,5330.8,1079,1083.8,3168.1,1118,597.9,490.2,546.6,256,267.2,386.2,510.3,1158.6,56740,2019
111,重庆市,23605.8,1551.6,9392,12662.2,1581.3,6551.8,2840.1,2192.1,977.1,502,2088,1502.5,5370.9,75828,2019
112,四川省,46363.8,4807.5,17187.9,24368.3,4938,13165.9,4150.3,4243.8,1473.1,1178.6,3101.7,3269.1,10843.3,55472,2019
113,贵州省,16769.3,2280.6,5971.5,8517.3,2408,4459,1517.1,1269.9,709.9,417.2,1060,644.2,4284.1,46433,2019
114,云南省,23223.8,3037.7,8060.4,12125.7,3096.2,5400.5,2664.6,2386.2,1101.1,589.5,1393.1,1417.4,5175.2,47944,2019
